Index,Word,Definition,Comfort,Synonyms,Example
0,Personable,Pleasant in manner and appearance,3.0,"affable, amiable, attractive, gregarious",
1,Ersatz,An artificial or inferior substitute or imitation,2.5,Substituite,
2,Solipsistic,Theory only the self exists or can be known to exist,2.75,"Egoist, egocentricity, narcissism",
3,Ran the gamut,To encompass an entire range of something ,2.25,gamut - spectrum,
4,Ape,Mimic or copy,1.5,"Imitate, caricature",
5,Hoi-Polloi,The Masses (people),2.25,"Multitude, Masses",
6,Facile,"Eloquent, ready, assured, poised.",0.25,"eloquent, fluent, silver, silver-tongued, smooth-spoken",
7,Facile,Arrived at without due care or effort; Lacking depth; Simple,1.25,"effortless, glib, hasty, easy",
8,Ambivalent,Uncertain or unable to decide about what course to follow,4.75,"equivocal, contradictory, doubtful",
9,Sophomoric,Juvenile; Rebellious; Puerile ;Attributed to adolescents,3.0,"foolish, brash, reckless, young",
10,Officious,Intrusive in a meddling or offensive manner,2.75,"interfering, meddlesome, meddling, busy, busybodied",
11,Baneful,Deadly; Sinister,2.5,"deadly, pernicious, pestilent, baleful",
12,Noxious,Injurious to physical or mental health,1.75,harmful,
13,Nugatory,Of no real value,2.0,insignificant; inadequate,
14,Clandestine,Conducted with or marked by hidden aims or methods,2.0,"cloak-and-dagger, hole-and-corner, hugger-mugger, hush-hush, secret, surreptitious, undercover, underground",
15,Mendacious,Given to lying,1.75,deceitful,
16,Cabal,A clique that seeks power usually through intrigue; A Secret Political Faction,1.75,"Faction, junto, camarilla, conspiracy, conspire, complot, conjure, machinate",
17,Literati,The literary intelligentsia; Well-educated people interested in literature,1.5,"staff, scholars, personnel, ",
18,Incendiary,Capable of causing fires or catching fire spontaneously; Provocation,3.5,"incitive, inflammatory, instigative, rabble-rousing, seditious, incendiary bomb, firebomb, arsonist, firebug",
19,Parochial,Relating to church parish; Having a narrow outlook or scope,5.25,insular; narrow-minded,
20,Dulcet,Pleasing to the ear; Sweet and soothing,5.25,"honeyed, mellifluous, mellisonant, sweet",
21,Urbane,Showing a high degree of refinement; Suave or sophisticated,5.5,"polished, refined, svelte",
22,Perusal,The act of examining or reading carefully; To read or examine typically with great care,2.25,"perusing, poring over, studying",
23,Decry,Express strong disapproval of; Publicly denounce,0.5,"condemn, reprobate, objurgate, excoriate",
24,Garish,Tastelessly showy; Lurid; Gaudy; Obtrusively bright and showy,2.0,"brassy, cheap, flash, flashy, gaudy, gimcrack, loud, meretricious, tacky, tatty, tawdry, trashy",
25,Faculties,Inherent mental or physical powers,3.5,"adroitness, aptitude, capacity",
26,Poultices,Soft  moist masses of material applied to the body to heal or relieve pain; A medical dressing spread on a cloth and applied to the skin,2.5,"dressing, formentation, plaster",
27,Foibles,A minor weakness or peculiarity in someone's character,2.75,"shortcoming, weakness, quirk",
28,Mores,Customs or traditions;,2.25,"etiquettes, routines, formalities ",
29,Peccadilloes,A relatively minor fault or sin.,1.5,"impropriety, indiscretion",
30,Lexicon, (A list of) All the words used in a particular language or subject  or a dictionary; A reference book containing an alphabetical list of words,3.0,"vocabulary, mental lexicon, dictionary",
31,Medleys,A musical composition consisting of a series of songs; A diverse assortment or mixture; (Archaic) Melee,0.75,"collection, assortment, conglomeration",
32,Craven,Cowardly (Without courage),9.5,"Recreant, poltroon, dastard.",
33,Apoplectic,Pertaining to loss of consciousness (not necessarily fainted but can also be because you're so mad that you're barely conscious),1.25,"Frozen, Lifeless, Paralyzed, Inert",Someone who is apoplectic is not just mad - they're so filled with rage
34,Paean,A song of praise or triumph; Hymn,1.25,"pean, encomium, eulogy, panegyric",
35,Plaudits,Praise; Acclaim,1.0,"acclaim, acclamation, eclat",
36,Abdicate,"To give up, often in a formal manner",2.75,renounce,
37,Aberrant,Unusual,3.0,"deviant, abnormal",
38,Abeyance,Temporary suspensios,3.25,Dormancy; Inactivity,
39,Abjure,"To give up, often in a formal manner",1.5,"Recant, forswear, retract, resile",
40,Abstemious,"Sparing in consumption, especially of food and drink",3.5,Self-restrained appetite; Frugal of foods and drinks,
41,Abstruse,Difficult to understand,0.5,"deep, recondite",
42,Accretion,An increase,0.75,accumulation,
43,Acerbic,Sour; Harsh,0.25,"acerb, acid, acrid, bitter, blistering, caustic, sulfurous, sulphurous, venomous, virulent, vitriolic, astringent",
44,Acidulous,Sour; Sharp,1.0,"acidic, acid, acidulent",
